t,A_x,A_y,B_x,B_y,C_x,C_y,D_x,D_y,E_x,E_y,F_x,F_y
3.847204E1,,,,,7.573200E-1,2.419530E-3,,,,,,
3.850537E1,,,,,7.892940E-1,2.590263E-3,,,,,,
3.853871E1,,,,,8.184686E-1,2.594673E-3,,,,,,
3.857205E1,,,,,8.476431E-1,2.599083E-3,,,,,,
3.860539E1,,,,,8.831011E-1,2.328474E-3,,,,,,
3.863873E1,,,,,9.167852E-1,2.816909E-3,,,,,,
3.867206E1,,,,,9.496206E-1,3.038819E-3,,,,,,
3.870540E1,,,,,9.872449E-1,2.680802E-3,,,,,,
3.873874E1,,,,,1.020144E0,1.825965E-3,,,,,,
3.877208E1,,,,,1.054905E0,2.378371E-3,,,,,,
3.880542E1,,,,,1.091237E0,1.943589E-3,,,,,,
3.883875E1,,,,,1.126657E0,2.319028E-3,,,,,,
3.887209E1,,,,,1.163648E0,1.707279E-3,,,,,,
3.890543E1,,,,,,,,,,,,
3.893877E1,,,,,,,,,,,,
3.897211E1,,,,,,,,,,,,
3.900544E1,,,,,,,,,,,,
3.903878E1,,,,,,,,,,,,
3.907212E1,,,,,,,,,,,,
3.910546E1,,,,,,,,,,,,
3.913880E1,,,,,,,,,,,,
3.917213E1,,,,,,,,,,,,
3.920547E1,,,,,,,,,,,,
3.923881E1,,,,,,,,,,,,
3.927215E1,,,,,,,,,,,,
3.930549E1,,,,,,,,,,,,
3.933882E1,,,,,,,,,,,,
3.937216E1,,,,,,,,,,,,
3.940550E1,,,,,,,,,,,,
3.943884E1,,,,,,,,,,,,
3.947218E1,,,,,,,,,,,,
3.950551E1,,,,,,,,,,,,
3.953885E1,,,,,,,,,,,,
3.957219E1,,,,,,,,,,,,
3.960553E1,,,,,,,,,,,,
3.963887E1,,,,,,,,,,,,
3.967220E1,,,,,,,,,,,,
3.970554E1,,,,,,,,,,,,
3.973888E1,,,,,,,,,,,,
3.977222E1,,,,,,,,,,,,
3.980556E1,,,,,,,,,,,,
3.983889E1,,,,,,,,,,,,
3.987223E1,,,,,,,,,,,,
